,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW
<2.5 m/s,0.081811263,0.083713851,0.117960426,0.173135464,0.25304414,0.304414003,0.374809741,0.367199391,0.319634703,0.302511416,0.21499239,0.26065449,0.209284627,0.178843227,0.106544901,0.076103501
2.5-5 m/s,0.742009132,0.949391172,0.903729072,1.213850837,1.504946728,1.777016743,2.077625571,1.752283105,1.263318113,1.010273973,1.057838661,1.2804414,1.411719939,1.225266362,0.939878234,0.53652968
5-7.5 m/s,1.023592085,1.213850837,1.175799087,1.666666667,2.517123288,2.857686454,3.706240487,3.202054795,1.445966514,1.031202435,1.084474886,1.484018265,2.566590563,2.397260274,1.659056317,0.829528158
7.5-10 m/s,0.363394216,0.384322679,0.351978691,1.069254186,3.175418569,4.189497717,4.24847793,2.819634703,0.637366819,0.643074581,0.72108067,0.722983257,1.835996956,1.898782344,1.48782344,0.45281583
10-12.5 m/s,0.053272451,0.0456621,0.083713851,0.22260274,1.168188737,2.319254186,2.747336377,1.714231355,0.226407915,0.100837139,0.203576865,0.338660578,1.267123288,1.461187215,1.25,0.355783866
12.5-15 m/s,0.019025875,0.001902588,0.00761035,0.011415525,0.043759513,0.519406393,1.065449011,0.443302892,0.060882801,0.03805175,0.070395738,0.203576865,0.496575342,0.724885845,0.755327245,0.409056317
15-17.5 m/s,0.003805175,0,0,0,0,0.104642314,0.188356164,0.083713851,0.020928463,0.0152207,0.024733638,0.024733638,0.195966514,0.361491629,0.340563166,0.098934551
17.5-20 m/s,0,0,0,0,0,0.0304414,0.057077626,0.026636225,0,0,0.005707763,0.00761035,0.064687976,0.306316591,0.106544901,0.005707763
20-22.5 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0.003805175,0.02283105,0.013318113,0.001902588
22.5-25 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-27.5 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5-30 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-32.5 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
> 35 m/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0