WS,Power
0,0
1,0
2,0
3,0
3.2,0
3.3,1.578487654
3.4,3.721190164
3.5,6.458894723
3.6,9.822388525
3.7,13.84245876
3.8,18.54989262
3.9,23.97547731
4,30.15
4.1,39.17409081
4.2,48.60693189
4.3,58.45748432
4.4,68.73470919
4.5,79.44756757
4.6,90.60502054
4.7,102.2160292
4.8,114.2895546
4.9,126.8345578
5,139.86
5.1,153.3748422
5.2,167.3880454
5.3,181.9085708
5.4,196.9453795
5.5,212.5074324
5.6,228.6036908
5.7,245.2431157
5.8,262.4346681
5.9,280.1873092
6,298.51
6.1,316.8985604
6.2,335.769111
6.3,355.1274422
6.4,374.9793443
6.5,395.3306075
6.6,416.1870221
6.7,437.5543783
6.8,459.4384665
6.9,481.845077
7,504.78
7.1,528.9922149
7.2,553.8951441
7.3,579.4985018
7.4,605.8120022
7.5,632.8453596
7.6,660.6082882
7.7,689.1105023
7.8,718.3617162
7.9,748.371644
8,779.15
8.1,810.7093482
8.2,843.0571238
8.3,876.2030541
8.4,910.1568666
8.5,944.9282886
8.6,980.5270475
8.7,1016.962871
8.8,1054.245486
8.9,1092.38462
9,1131.39
9.1,1169.669648
9.2,1208.517571
9.3,1247.936946
9.4,1287.930949
9.5,1328.502756
9.6,1369.655542
9.7,1411.392483
9.8,1453.716756
9.9,1496.631537
10,1540.14
10.1,1579.622186
10.2,1618.795852
10.3,1657.647177
10.4,1696.162341
10.5,1734.327523
10.6,1772.128904
10.7,1809.552662
10.8,1846.584978
10.9,1883.21203
11,1919.42
11.1,1952.084059
11.2,1983.694211
11.3,2014.22625
11.4,2043.65597
11.5,2071.959163
11.6,2099.111623
11.7,2125.089143
11.8,2149.867517
11.9,2173.422538
12,2195.73
12.1,2217.25589
12.2,2237.74312
12.3,2257.20953
12.4,2275.67296
12.5,2293.15125
12.6,2309.66224
12.7,2325.22377
12.8,2339.85368
12.9,2353.56981
13,2366.39
13.1,2377.841215
13.2,2388.46192
13.3,2398.299705
13.4,2407.40216
13.5,2415.816875
13.6,2423.59144
13.7,2430.773445
13.8,2437.41048
13.9,2443.550135
14,2449.24
14.1,2455.418447
14.2,2461.188298
14.3,2466.543154
14.4,2471.476621
14.5,2475.9823
14.6,2480.053795
14.7,2483.684709
14.8,2486.868646
14.9,2489.599209
15,2491.87
15.1,2493.800395
15.2,2495.41216
15.3,2496.731665
15.4,2497.78528
15.5,2498.599375
15.6,2499.20032
15.7,2499.614485
15.8,2499.86824
15.9,2499.987955
16,2500
16.1,2500
16.2,2500
16.3,2500
16.4,2500
16.5,2500
16.6,2500
16.7,2500
16.8,2500
16.9,2500
17,2500
17.1,2500
17.2,2500
17.3,2500
17.4,2500
17.5,2500
17.6,2500
17.7,2500
17.8,2500
17.9,2500
18,2500
18.1,2500
18.2,2500
18.3,2500
18.4,2500
18.5,2500
18.6,2500
18.7,2500
18.8,2500
18.9,2500
19,2500
19.1,2500
19.2,2500
19.3,2500
19.4,2500
19.5,2500
19.6,2500
19.7,2500
19.8,2500
19.9,2500
20,2500
20.1,2500
20.2,2500
20.3,2500
20.4,2500
20.5,2500
20.6,2500
20.7,2500
20.8,2500
20.9,2500
21,2500
21.1,2500
21.2,2500
21.3,2500
21.4,2500
21.5,2500
21.6,2500
21.7,2500
21.8,2500
21.9,2500
22,2500
22.1,2500
22.2,2500
22.3,2500
22.4,2500
22.5,2500
22.6,2500
22.7,2500
22.8,2500
22.9,2500
23,2500
23.1,2500
23.2,2500
23.3,2500
23.4,2500
23.5,2500
23.6,2500
23.7,2500
23.8,2500
23.9,2500
24,2500
24.1,2500
24.2,2500
24.3,2500
24.4,2500
24.5,2500
24.6,2500
24.7,2500
24.8,2500
24.9,2500
25,2500
25.1,2280
25.2,2040
25.3,1785
25.4,1520
25.5,1250
25.6,980
25.7,715
25.8,460
25.9,220
26,1.86265E-09
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,0
28.7,0
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,0
29.7,0
29.8,0
29.9,0
30,0
30.1,0
30.2,0
30.3,0
30.4,0
30.5,0
30.6,0
30.7,0
30.8,0
30.9,0
31,0
31.1,0
31.2,0
31.3,0
31.4,0
31.5,0
31.6,0
31.7,0
31.8,0
31.9,0
32,0
32.1,0
32.2,0
32.3,0
32.4,0
32.5,0
32.6,0
32.7,0
32.8,0
32.9,0
33,0
33.1,0
33.2,0
33.3,0
33.4,0
33.5,0
33.6,0
33.7,0
33.8,0
33.9,0
34,0
34.1,0
34.2,0
34.3,0
34.4,0
34.5,0
34.6,0
34.7,0
34.8,0
34.9,0
35,0
35.1,0
35.2,0
35.3,0
35.4,0
35.5,0
35.6,0
35.7,0
35.8,0
35.9,0
36,0
36.1,0
36.2,0
36.3,0
36.4,0
36.5,0
36.6,0
36.7,0
36.8,0
36.9,0
37,0
37.1,0
37.2,0
37.3,0
37.4,0
37.5,0
37.6,0
37.7,0
37.8,0
37.9,0
38,0
38.1,0
38.2,0
38.3,0
38.4,0
38.5,0
38.6,0
38.7,0
38.8,0
38.9,0
39,0
39.1,0
39.2,0
39.3,0
39.4,0
39.5,0
39.6,0
39.7,0
39.8,0
39.9,0
40,0
40.1,0
40.2,0
40.3,0
40.4,0
40.5,0
40.6,0
40.7,0
40.8,0
40.9,0
41,0
41.1,0
41.2,0
41.3,0
41.4,0
41.5,0
41.6,0
41.7,0
41.8,0
41.9,0
42,0
42.1,0
42.2,0
42.3,0
42.4,0
42.5,0
42.6,0
42.7,0
42.8,0
42.9,0
43,0
43.1,0
43.2,0
43.3,0
43.4,0
43.5,0
43.6,0
43.7,0
43.8,0
43.9,0
44,0
44.1,0
44.2,0
44.3,0
44.4,0
44.5,0
44.6,0
44.7,0
44.8,0
44.9,0
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
51.2,0
51.3,0
51.4,0
51.5,0
51.6,0
51.7,0
51.8,0
51.9,0
52,0
52.1,0
52.2,0
52.3,0
52.4,0
52.5,0
52.6,0
52.7,0
52.8,0
52.9,0
53,0
53.1,0
53.2,0
53.3,0
53.4,0
53.5,0
53.6,0
53.7,0
53.8,0
53.9,0
54,0
54.1,0
54.2,0
54.3,0
54.4,0
54.5,0
54.6,0
54.7,0
54.8,0
54.9,0
55,0
55.1,0
55.2,0
55.3,0
55.4,0
55.5,0
55.6,0
55.7,0
55.8,0
55.9,0
56,0
56.1,0
56.2,0
56.3,0
56.4,0
56.5,0
56.6,0
56.7,0
56.8,0
56.9,0
57,0
57.1,0
57.2,0
57.3,0
57.4,0
57.5,0
57.6,0
57.7,0
57.8,0
57.9,0
58,0
58.1,0
58.2,0
58.3,0
58.4,0
58.5,0
58.6,0
58.7,0
58.8,0
58.9,0
59,0
59.1,0
59.2,0
59.3,0
59.4,0
59.5,0
59.6,0
59.7,0
59.8,0
59.9,0
60,0
99,0
